Person,Item,Ratings
55,whole milk,8.0
55,yogurt,8.0
55,processed cheese,8.0
55,pickled vegetables,8.0
55,soda,4.0
58,rolls/buns,8.0
58,oil,8.0
58,bottled water,8.0
58,chewing gum,8.0
58,chocolate marshmallow,8.0
58,hygiene articles,7.0
58,napkins,7.0
59,ham,7.0
59,beef,8.0
59,whipped/sour cream,8.0
59,ice cream,8.0
59,rolls/buns,8.0
59,cat food,8.0
61,other vegetables,9.0
61,whole milk,8.0
61,frozen vegetables,8.0
61,canned fish,8.0
61,salty snack,8.0
61,seasonal products,7.0
61,detergent,5.0
64,frankfurter,8.0
64,tropical fruit,9.0
64,rolls/buns,8.0
64,brown bread,6.0
64,sugar,6.0
70,tropical fruit,9.0
70,pip fruit,9.0
70,berries,9.0
70,whole milk,8.0
70,frozen potato products,8.0
70,rolls/buns,8.0
70,pickled vegetables,8.0
70,chocolate,8.0
72,whole milk,8.0
72,butter,8.0
72,margarine,8.0
72,specialty fat,8.0
72,specialty chocolate,7.0
72,candles,8.0
72,flower (seeds),8.0
73,frankfurter,8.0
73,citrus fruit,9.0
73,whole milk,8.0
73,domestic eggs,8.0
73,oil,8.0
73,sparkling wine,8.0
73,specialty chocolate,7.0
73,newspapers,7.0
77,citrus fruit,9.0
77,whole milk,8.0
77,curd,7.0
77,butter milk,8.0
77,pastry,6.0
78,flour,6.0
78,salt,8.0
78,bottled water,8.0
78,fruit/vegetable juice,8.0
78,bottled beer,8.0
82,root vegetables,9.0
82,whole milk,8.0
82,frozen vegetables,8.0
82,domestic eggs,8.0
82,rolls/buns,8.0
82,oil,8.0
82,margarine,8.0
82,canned vegetables,7.0
82,fruit/vegetable juice,8.0
82,bathroom cleaner,7.0
84,herbs,9.0
84,condensed milk,8.0
84,frozen vegetables,8.0
84,salt,8.0
84,oil,8.0
84,white wine,7.0
84,candles,8.0
86,sausage,8.0
86,root vegetables,9.0
86,onions,9.0
86,yogurt,8.0
86,rolls/buns,8.0
86,brandy,8.0
86,detergent,5.0
94,pork,8.0
94,hamburger meat,7.0
94,citrus fruit,9.0
94,berries,9.0
94,onions,9.0
94,whipped/sour cream,8.0
94,rice,9.0
94,coffee,8.0
94,chocolate,8.0
97,sausage,8.0
97,sliced cheese,6.0
97,rolls/buns,8.0
97,brown bread,6.0
97,fruit/vegetable juice,8.0
97,canned beer,8.0
97,red/blush wine,6.0
97,waffles,6.0
97,shopping bags,8.0
98,chicken,8.0
98,hamburger meat,6.0
98,citrus fruit,9.0
98,tropical fruit,9.0
98,root vegetables,9.0
98,other vegetables,9.0
98,butter,8.0
98,pasta,8.0
98,oil,8.0
98,detergent,5.0
102,sausage,8.0
102,pork,8.0
102,grapes,9.0
102,whole milk,8.0
102,rolls/buns,8.0
102,pastry,6.0
102,soda,4.0
102,specialty bar,7.0
102,bathroom cleaner,7.0
104,sausage,8.0
104,whole milk,8.0
104,yogurt,8.0
104,coffee,8.0
104,fruit/vegetable juice,8.0
104,bottled beer,8.0
104,softener,7.0
104,napkins,7.0
104,photo/film,7.0
104,shopping bags,8.0
107,beef,8.0
107,citrus fruit,9.0
107,berries,9.0
107,root vegetables,9.0
107,brown bread,6.0
107,detergent,5.0
108,whole milk,8.0
108,whipped/sour cream,8.0
108,rolls/buns,8.0
108,soda,4.0
108,waffles,6.0
108,candy,8.0
108,cling film/bags,8.0
111,frankfurter,8.0
111,sausage,8.0
111,root vegetables,9.0
111,other vegetables,9.0
111,rolls/buns,8.0
111,oil,8.0
111,pickled vegetables,8.0
111,bottled beer,8.0
111,chewing gum,8.0
111,dishes,8.0
113,whole milk,8.0
113,dessert,8.0
113,frozen vegetables,8.0
113,rolls/buns,8.0
113,margarine,8.0
113,bottled water,8.0
113,red/blush wine,7.0
113,newspapers,7.0
117,hamburger meat,7.0
117,whole milk,8.0
117,frozen vegetables,8.0
117,rolls/buns,8.0
117,bottled beer,8.0
117,sparkling wine,8.0
118,hamburger meat,7.0
118,other vegetables,9.0
118,whole milk,8.0
118,frozen vegetables,8.0
118,domestic eggs,8.0
118,soda,4.0
118,dishes,8.0
120,fish,8.0
120,other vegetables,9.0
120,pastry,6.0
120,margarine,8.0
120,coffee,8.0
120,long life bakery product,4.0
120,male cosmetics,7.0
120,shopping bags,8.0
126,frankfurter,8.0
126,sausage,8.0
126,citrus fruit,9.0
126,tropical fruit,9.0
126,pip fruit,9.0
126,whole milk,8.0
126,hard cheese,8.0
126,cream cheese ,7.0
126,domestic eggs,8.0
126,rice,9.0
126,sugar,6.0
126,misc. beverages,8.0
126,fruit/vegetable juice,8.0
126,hygiene articles,7.0
132,whole milk,8.0
132,yogurt,8.0
132,beverages,8.0
132,brown bread,6.0
132,shopping bags,8.0
141,frankfurter,8.0
141,sausage,8.0
141,whole milk,8.0
141,rolls/buns,8.0
141,margarine,8.0
145,citrus fruit,9.0
145,butter,8.0
145,cream cheese ,7.0
145,white bread,8.0
145,oil,8.0
145,margarine,8.0
145,newspapers,7.0
147,frankfurter,8.0
147,ham,7.0
147,pip fruit,9.0
147,other vegetables,9.0
147,whole milk,8.0
147,soft cheese,8.0
147,frozen vegetables,8.0
147,rolls/buns,8.0
147,sugar,6.0
147,baking powder,6.0
148,butter milk,8.0
148,yogurt,8.0
148,honey,9.0
148,soda,4.0
148,detergent,5.0
149,hamburger meat,7.0
149,citrus fruit,9.0
149,onions,9.0
149,rolls/buns,8.0
149,bottled water,8.0
149,dental care,8.0
151,other vegetables,9.0
151,whole milk,8.0
151,meat spreads,8.0
151,cake bar,8.0
151,chocolate,8.0
151,shopping bags,8.0
152,sausage,8.0
152,pork,8.0
152,citrus fruit,9.0
152,dessert,8.0
152,white bread,8.0
152,dishes,8.0
152,candles,8.0
154,grapes,7.0
154,other vegetables,9.0
154,curd,7.0
154,dessert,8.0
154,yogurt,8.0
154,napkins,7.0
155,root vegetables,9.0
155,other vegetables,9.0
155,whole milk,8.0
155,yogurt,8.0
155,beverages,8.0
155,soft cheese,8.0
155,frozen vegetables,8.0
155,fruit/vegetable juice,8.0
155,bottled beer,8.0
158,whole milk,8.0
158,rolls/buns,8.0
158,sugar,6.0
158,bottled water,8.0
158,soda,4.0
159,tropical fruit,9.0
159,other vegetables,9.0
159,packaged fruit/vegetables,9.0
159,whole milk,8.0
159,snack products,8.0
160,beef,8.0
160,herbs,9.0
160,flour,6.0
160,cling film/bags,8.0
160,flower soil/fertilizer,8.0
171,ham,7.0
171,tropical fruit,9.0
171,other vegetables,9.0
171,whole milk,8.0
171,white bread,8.0
171,brown bread,6.0
171,fruit/vegetable juice,8.0
171,bottled beer,8.0
173,curd,7.0
173,butter milk,8.0
173,cocoa drinks,8.0
173,salty snack,8.0
173,popcorn,8.0
175,curd,7.0
175,dessert,6.0
175,soda,4.0
175,salty snack,8.0
175,waffles,6.0
175,cake bar,6.0
175,chocolate,8.0
175,shopping bags,8.0
180,other vegetables,9.0
180,bottled water,8.0
180,waffles,6.0
180,dishes,8.0
180,shopping bags,8.0
186,frankfurter,8.0
186,ham,7.0
186,tropical fruit,9.0
186,pip fruit,9.0
186,root vegetables,9.0
186,other vegetables,9.0
186,whole milk,8.0
186,butter,8.0
186,curd,7.0
186,yogurt,8.0
186,whipped/sour cream,8.0
186,soft cheese,8.0
186,sliced cheese,7.0
186,cream cheese ,7.0
186,frozen meals,8.0
186,frozen fish,8.0
186,domestic eggs,8.0
186,white bread,8.0
186,sugar,6.0
186,cereals,8.0
186,fruit/vegetable juice,8.0
186,bottled beer,8.0
186,waffles,6.0
188,curd,7.0
188,cream cheese ,7.0
188,semi-finished bread,7.0
188,zwieback,8.0
188,cake bar,6.0
188,specialty bar,7.0
188,shopping bags,8.0
189,frankfurter,8.0
189,tropical fruit,9.0
189,whole milk,8.0
189,spread cheese,8.0
189,margarine,8.0
189,shopping bags,8.0
193,curd,7.0
193,salt,8.0
193,liquor (appetizer),8.0
193,detergent,5.0
193,shopping bags,8.0
196,beef,8.0
196,berries,9.0
196,root vegetables,9.0
196,whole milk,8.0
196,dessert,6.0
196,spread cheese,8.0
196,brown bread,6.0
198,pork,8.0
198,beef,8.0
198,pip fruit,9.0
198,herbs,9.0
198,spices,9.0
199,frankfurter,8.0
199,citrus fruit,9.0
199,UHT-milk,8.0
199,margarine,8.0
199,sugar,6.0
207,pork,8.0
207,root vegetables,9.0
207,other vegetables,9.0
207,whole milk,8.0
207,dishes,8.0
211,butter,8.0
211,yogurt,8.0
211,bottled water,8.0
211,soda,4.0
211,make up remover,7.0
211,hygiene articles,7.0
213,sausage,8.0
213,other vegetables,9.0
213,yogurt,8.0
213,soda,4.0
213,shopping bags,8.0
215,sausage,8.0
215,pork,8.0
215,beef,8.0
215,whole milk,8.0
215,rolls/buns,8.0
215,margarine,8.0
223,sausage,8.0
223,beef,8.0
223,citrus fruit,9.0
223,other vegetables,9.0
223,whole milk,8.0
223,butter milk,8.0
223,whipped/sour cream,8.0
223,beverages,8.0
223,hard cheese,8.0
223,rolls/buns,8.0
223,dish cleaner,8.0
223,cookware,8.0
226,sausage,8.0
226,sliced cheese,7.0
226,rolls/buns,8.0
226,soda,4.0
226,canned beer,8.0
226,shopping bags,8.0
228,frankfurter,8.0
228,meat,8.0
228,tropical fruit,9.0
228,onions,9.0
228,oil,8.0
228,baking powder,6.0
228,tea,8.0
228,cling film/bags,8.0
231,tropical fruit,9.0
231,berries,9.0
231,root vegetables,9.0
231,other vegetables,9.0
231,bottled water,8.0
231,shopping bags,8.0
232,meat,8.0
232,citrus fruit,9.0
232,other vegetables,9.0
232,curd,7.0
232,dessert,6.0
232,butter milk,8.0
232,beverages,8.0
232,cream cheese ,7.0
232,rolls/buns,8.0
232,brown bread,6.0
232,tea,8.0
232,bottled water,8.0
234,sausage,8.0
234,beef,8.0
234,beverages,8.0
234,sliced cheese,7.0
234,rolls/buns,8.0
234,spices,9.0
234,house keeping products,8.0
234,flower (seeds),8.0
235,frankfurter,8.0
235,sausage,8.0
235,root vegetables,9.0
235,butter,8.0
235,curd,7.0
235,sliced cheese,7.0
235,rolls/buns,8.0
235,salty snack,8.0
235,long life bakery product,4.0
237,root vegetables,9.0
237,beverages,8.0
237,Instant food products,8.0
237,pickled vegetables,8.0
237,detergent,5.0
238,root vegetables,9.0
238,herbs,9.0
238,other vegetables,9.0
238,whole milk,8.0
238,sliced cheese,7.0
238,rolls/buns,8.0
240,citrus fruit,9.0
240,whole milk,8.0
240,curd,7.0
240,dessert,6.0
240,yogurt,8.0
240,whipped/sour cream,8.0
240,frozen dessert,8.0
240,rolls/buns,8.0
240,salt,8.0
240,sugar,6.0
240,cereals,8.0
240,canned vegetables,7.0
240,canned fish,8.0
240,skin care,7.0
240,hygiene articles,7.0
240,napkins,7.0
241,citrus fruit,9.0
241,curd,7.0
241,pastry,6.0
241,margarine,8.0
241,sugar,6.0
241,candy,8.0
241,newspapers,7.0
242,other vegetables,9.0
242,whole milk,8.0
242,bottled water,8.0
242,soda,4.0
242,misc. beverages,8.0
242,bottled beer,8.0
242,red/blush wine,7.0
242,napkins,7.0
245,frankfurter,8.0
245,beef,8.0
245,hamburger meat,7.0
245,grapes,7.0
245,root vegetables,9.0
245,whole milk,8.0
245,butter,8.0
245,frozen dessert,8.0
245,potato products,9.0
245,bottled water,8.0
245,bottled beer,8.0
248,turkey,5.0
248,beef,8.0
248,frozen vegetables,8.0
248,dishes,8.0
248,photo/film,7.0
249,pork,8.0
249,other vegetables,9.0
249,whipped/sour cream,8.0
249,rolls/buns,8.0
249,soda,4.0
249,shopping bags,8.0
252,sausage,8.0
252,pip fruit,9.0
252,whole milk,8.0
252,curd,7.0
252,yogurt,8.0
252,sliced cheese,7.0
252,rolls/buns,8.0
252,bottled water,8.0
252,hygiene articles,7.0
259,sausage,8.0
259,citrus fruit,9.0
259,tropical fruit,9.0
259,other vegetables,9.0
259,whole milk,8.0
259,yogurt,8.0
259,rolls/buns,8.0
259,bottled water,8.0
259,soda,4.0
259,chocolate,8.0
259,newspapers,7.0
261,pork,8.0
261,berries,9.0
261,root vegetables,9.0
261,other vegetables,9.0
261,pastry,6.0
261,specialty bar,7.0
267,frankfurter,8.0
267,sausage,8.0
267,butter,8.0
267,whipped/sour cream,8.0
267,rolls/buns,8.0
267,margarine,8.0
267,spices,9.0
268,tropical fruit,9.0
268,pip fruit,9.0
268,onions,9.0
268,other vegetables,9.0
268,whole milk,8.0
268,domestic eggs,8.0
268,sugar,6.0
268,soups,4.0
268,tea,8.0
268,soda,4.0
268,hygiene articles,7.0
268,napkins,7.0
271,meat,8.0
271,citrus fruit,9.0
271,berries,9.0
271,root vegetables,9.0
271,whole milk,8.0
271,soda,4.0
272,frankfurter,8.0
272,rolls/buns,8.0
272,bottled water,8.0
272,fruit/vegetable juice,8.0
272,hygiene articles,7.0
274,tropical fruit,9.0
274,root vegetables,9.0
274,herbs,9.0
274,whole milk,8.0
274,butter milk,8.0
274,whipped/sour cream,8.0
274,flour,6.0
274,hygiene articles,7.0
275,citrus fruit,9.0
275,pip fruit,9.0
275,root vegetables,9.0
275,other vegetables,9.0
275,whole milk,8.0
275,cream cheese ,7.0
275,domestic eggs,8.0
275,brown bread,6.0
275,margarine,8.0
275,baking powder,6.0
275,waffles,6.0
276,hamburger meat,7.0
276,other vegetables,9.0
276,whole milk,8.0
276,curd,7.0
276,yogurt,8.0
276,rolls/buns,8.0
276,pastry,6.0
276,semi-finished bread,7.0
276,margarine,8.0
276,bottled water,8.0
276,fruit/vegetable juice,8.0
277,chicken,8.0
277,pip fruit,9.0
277,other vegetables,9.0
277,whole milk,8.0
277,dessert,6.0
277,yogurt,8.0
277,whipped/sour cream,8.0
277,rolls/buns,8.0
277,pasta,8.0
277,soda,4.0
277,waffles,6.0
278,chicken,8.0
278,citrus fruit,9.0
278,tropical fruit,9.0
278,root vegetables,9.0
278,whole milk,8.0
278,frozen fish,8.0
278,rolls/buns,8.0
279,frankfurter,8.0
279,citrus fruit,9.0
279,onions,9.0
279,other vegetables,9.0
279,whole milk,8.0
279,rolls/buns,8.0
279,sugar,6.0
279,soda,4.0
282,packaged fruit/vegetables,9.0
282,whole milk,8.0
282,curd,7.0
282,yogurt,8.0
282,domestic eggs,8.0
282,brown bread,6.0
282,mustard,8.0
282,pickled vegetables,8.0
282,bottled water,8.0
282,misc. beverages,8.0
285,sausage,8.0
285,whole milk,8.0
285,yogurt,8.0
285,rolls/buns,8.0
285,brown bread,6.0
285,pot plants,8.0
286,whole milk,8.0
286,frozen meals,8.0
286,pastry,6.0
286,fruit/vegetable juice,8.0
286,waffles,6.0
290,citrus fruit,9.0
290,other vegetables,9.0
290,rolls/buns,8.0
290,salty snack,8.0
290,shopping bags,8.0
292,chicken,8.0
292,other vegetables,9.0
292,whole milk,8.0
292,vinegar,8.0
292,oil,8.0
292,bottled water,8.0
292,canned beer,8.0
292,napkins,7.0
292,newspapers,7.0
293,hamburger meat,7.0
293,root vegetables,9.0
293,other vegetables,9.0
293,whole milk,8.0
293,yogurt,8.0
293,whipped/sour cream,8.0
293,specialty cheese,7.0
293,flour,6.0
293,margarine,8.0
294,sausage,8.0
294,pork,8.0
294,other vegetables,9.0
294,dessert,6.0
294,yogurt,8.0
294,oil,8.0
294,soda,4.0
295,beef,8.0
295,berries,9.0
295,root vegetables,9.0
295,whole milk,8.0
295,whipped/sour cream,8.0
295,abrasive cleaner,7.0
302,frankfurter,8.0
302,beef,8.0
302,root vegetables,9.0
302,curd,7.0
302,dessert,6.0
302,yogurt,8.0
302,soft cheese,8.0
302,rolls/buns,8.0
302,mustard,8.0
302,pickled vegetables,8.0
302,canned beer,8.0
302,hygiene articles,7.0
302,napkins,7.0
305,onions,9.0
305,soda,4.0
305,chewing gum,8.0
305,chocolate,8.0
305,newspapers,7.0
306,tropical fruit,9.0
306,packaged fruit/vegetables,9.0
306,cream cheese ,7.0
306,white bread,8.0
306,candy,8.0
308,beef,8.0
308,white bread,8.0
308,pastry,6.0
308,pasta,8.0
308,soap,5.0
309,sausage,8.0
309,chicken,8.0
309,tropical fruit,9.0
309,root vegetables,9.0
309,whole milk,8.0
309,yogurt,8.0
309,candy,8.0
309,abrasive cleaner,7.0
309,cleaner,5.0
311,chicken,8.0
311,whole milk,8.0
311,spices,9.0
311,long life bakery product,4.0
311,shopping bags,8.0
312,pork,8.0
312,citrus fruit,9.0
312,brown bread,6.0
312,pastry,6.0
312,sugar,6.0
312,cat food,8.0
319,sausage,8.0
319,citrus fruit,9.0
319,yogurt,8.0
319,coffee,8.0
319,soda,4.0
319,canned beer,8.0
319,dishes,8.0
325,frankfurter,8.0
325,other vegetables,9.0
325,yogurt,8.0
325,brown bread,6.0
325,bottled water,8.0
326,berries,9.0
326,root vegetables,9.0
326,other vegetables,9.0
326,curd,7.0
326,butter milk,8.0
326,cream cheese ,7.0
326,roll products ,8.0
326,margarine,8.0
326,misc. beverages,8.0
326,specialty chocolate,7.0
326,detergent,5.0
328,tropical fruit,9.0
328,yogurt,8.0
328,rolls/buns,8.0
328,soda,4.0
328,shopping bags,8.0
329,ham,7.0
329,other vegetables,9.0
329,whipped/sour cream,8.0
329,hard cheese,8.0
329,rolls/buns,8.0
329,soda,4.0
329,misc. beverages,8.0
329,chocolate,8.0
329,candy,8.0
331,yogurt,8.0
331,mayonnaise,8.0
331,rolls/buns,8.0
331,soda,4.0
331,napkins,7.0
337,citrus fruit,9.0
337,pip fruit,9.0
337,beverages,8.0
337,hard cheese,8.0
337,pet care,8.0
337,soda,4.0
337,fruit/vegetable juice,8.0
337,waffles,6.0
340,frankfurter,8.0
340,other vegetables,9.0
340,whole milk,8.0
340,curd,7.0
340,frozen potato products,8.0
340,zwieback,8.0
340,specialty bar,7.0
340,dish cleaner,8.0
345,curd,7.0
345,beverages,8.0
345,cream cheese ,7.0
345,rolls/buns,8.0
345,pastry,6.0
345,soda,4.0
345,cake bar,6.0
345,chewing gum,8.0
349,root vegetables,9.0
349,whole milk,8.0
349,butter,8.0
349,processed cheese,7.0
349,mayonnaise,8.0
349,salty snack,8.0
352,berries,9.0
352,whipped/sour cream,8.0
352,cereals,8.0
352,waffles,6.0
352,shopping bags,8.0
355,root vegetables,9.0
355,domestic eggs,8.0
355,margarine,8.0
355,chocolate marshmallow,8.0
355,candy,8.0
364,frankfurter,8.0
364,sausage,8.0
364,pork,8.0
364,pip fruit,9.0
364,butter,8.0
364,processed cheese,7.0
364,white bread,8.0
364,brown bread,6.0
365,tropical fruit,9.0
365,root vegetables,9.0
365,whole milk,8.0
365,whipped/sour cream,8.0
365,domestic eggs,8.0
366,frankfurter,8.0
366,sausage,8.0
366,root vegetables,9.0
366,yogurt,8.0
366,whipped/sour cream,8.0
366,pastry,6.0
366,napkins,7.0
367,berries,9.0
367,root vegetables,9.0
367,other vegetables,9.0
367,packaged fruit/vegetables,9.0
367,whole milk,8.0
367,curd,7.0
367,curd cheese,5.0
367,cat food,8.0
367,specialty bar,7.0
367,detergent,5.0
368,rolls/buns,8.0
368,brown bread,6.0
368,pastry,6.0
368,coffee,8.0
368,bottled beer,8.0
369,root vegetables,9.0
369,packaged fruit/vegetables,9.0
369,curd,7.0
369,dessert,6.0
369,frozen vegetables,8.0
369,specialty fat,8.0
369,coffee,8.0
376,ham,7.0
376,citrus fruit,9.0
376,whole milk,8.0
376,whipped/sour cream,8.0
376,rolls/buns,8.0
376,pastry,6.0
376,waffles,6.0
376,hygiene articles,7.0
384,onions,9.0
384,butter,8.0
384,whipped/sour cream,8.0
384,hard cheese,8.0
384,frozen vegetables,8.0
384,pasta,8.0
384,specialty fat,8.0
384,syrup,6.0
384,candy,8.0
384,napkins,7.0
384,cling film/bags,8.0
385,hamburger meat,7.0
385,hard cheese,8.0
385,frozen meals,8.0
385,pasta,8.0
385,dog food,8.0
385,salty snack,8.0
385,shopping bags,8.0
386,sausage,8.0
386,liver loaf,8.0
386,other vegetables,9.0
386,cream cheese ,7.0
386,pastry,6.0
386,soap,5.0
386,shopping bags,8.0
393,yogurt,8.0
393,rolls/buns,8.0
393,pastry,6.0
393,bottled water,8.0
393,soda,4.0
393,shopping bags,8.0
403,whole milk,8.0
403,butter milk,8.0
403,yogurt,8.0
403,sliced cheese,7.0
403,rolls/buns,8.0
403,sweet spreads,8.0
403,coffee,8.0
403,fruit/vegetable juice,8.0
403,long life bakery product,4.0
403,shopping bags,8.0
412,other vegetables,9.0
412,whole milk,8.0
412,rolls/buns,8.0
412,margarine,8.0
412,bottled water,8.0
412,bottled beer,8.0
413,citrus fruit,9.0
413,tropical fruit,9.0
413,onions,9.0
413,other vegetables,9.0
413,shopping bags,8.0
414,sausage,8.0
414,ham,7.0
414,hamburger meat,7.0
414,whole milk,8.0
414,soda,4.0
414,softener,7.0
414,newspapers,7.0
416,pork,8.0
416,citrus fruit,9.0
416,tropical fruit,9.0
416,root vegetables,9.0
416,other vegetables,9.0
416,curd,7.0
416,hygiene articles,7.0
417,specialty cheese,7.0
417,frozen vegetables,8.0
417,coffee,8.0
417,soda,4.0
417,fruit/vegetable juice,8.0
417,salty snack,8.0
418,pork,8.0
418,citrus fruit,9.0
418,pip fruit,9.0
418,yogurt,8.0
418,fruit/vegetable juice,8.0
418,sparkling wine,8.0
419,beef,8.0
419,berries,9.0
419,whipped/sour cream,8.0
419,domestic eggs,8.0
419,rolls/buns,8.0
421,chicken,8.0
421,yogurt,8.0
421,sliced cheese,7.0
421,rolls/buns,8.0
421,chewing gum,8.0
421,dishes,8.0
429,citrus fruit,9.0
429,tropical fruit,9.0
429,root vegetables,9.0
429,yogurt,8.0
429,canned vegetables,7.0
429,bottled water,8.0
429,soda,4.0
429,softener,7.0
439,onions,9.0
439,other vegetables,9.0
439,pastry,6.0
439,bottled water,8.0
439,soda,4.0
439,napkins,7.0
441,beef,8.0
441,other vegetables,9.0
441,whole milk,8.0
441,frozen potato products,8.0
441,rolls/buns,8.0
441,oil,8.0
441,margarine,8.0
441,coffee,8.0
441,dental care,8.0
441,hygiene articles,7.0
441,newspapers,7.0
442,rolls/buns,8.0
442,zwieback,8.0
442,bottled water,8.0
442,misc. beverages,8.0
442,bottled beer,8.0
442,canned beer,8.0
442,brandy,8.0
443,beef,8.0
443,tropical fruit,9.0
443,root vegetables,9.0
443,onions,9.0
443,other vegetables,9.0
443,instant coffee,8.0
443,soda,4.0
447,pork,8.0
447,beef,8.0
447,hamburger meat,7.0
447,other vegetables,9.0
447,whole milk,8.0
447,frozen vegetables,8.0
447,rolls/buns,8.0
447,margarine,8.0
447,shopping bags,8.0
448,soda,4.0
448,canned beer,8.0
448,liquor (appetizer),8.0
448,hygiene articles,7.0
448,napkins,7.0
448,newspapers,7.0
449,sausage,8.0
449,ham,7.0
449,other vegetables,9.0
449,ice cream,8.0
449,white bread,8.0
450,beef,8.0
450,root vegetables,9.0
450,other vegetables,9.0
450,rolls/buns,8.0
450,sugar,6.0
453,berries,9.0
453,packaged fruit/vegetables,9.0
453,whole milk,8.0
453,ice cream,8.0
453,fruit/vegetable juice,8.0
453,salty snack,8.0
453,specialty bar,7.0
454,sausage,8.0
454,other vegetables,9.0
454,curd,7.0
454,yogurt,8.0
454,whipped/sour cream,8.0
454,frozen vegetables,8.0
454,rolls/buns,8.0
454,roll products ,8.0
456,tropical fruit,9.0
456,other vegetables,9.0
456,packaged fruit/vegetables,9.0
456,whole milk,8.0
456,hard cheese,8.0
456,frozen dessert,8.0
456,rice,9.0
456,bottled water,8.0
465,frankfurter,8.0
465,rolls/buns,8.0
465,pastry,6.0
465,snack products,8.0
465,specialty bar,7.0
466,frankfurter,8.0
466,sausage,8.0
466,liver loaf,8.0
466,root vegetables,9.0
466,curd,7.0
466,frozen vegetables,8.0
466,rolls/buns,8.0
466,semi-finished bread,7.0
466,hygiene articles,7.0
466,photo/film,7.0
468,frankfurter,8.0
468,root vegetables,9.0
468,pickled vegetables,8.0
468,soda,4.0
468,seasonal products,7.0
473,pork,8.0
473,onions,9.0
473,whole milk,8.0
473,butter,8.0
473,rolls/buns,8.0
473,pastry,6.0
473,rum,8.0
473,hygiene articles,7.0
476,hamburger meat,7.0
476,whole milk,8.0
476,curd,7.0
476,pasta,8.0
476,canned beer,8.0
482,ham,7.0
482,pip fruit,9.0
482,whole milk,8.0
482,curd,7.0
482,dessert,6.0
482,butter milk,8.0
482,whipped/sour cream,8.0
482,sliced cheese,7.0
482,cream cheese ,7.0
482,white bread,8.0
482,coffee,8.0
482,long life bakery product,4.0
482,chocolate,8.0
482,baby cosmetics,8.0
484,sausage,8.0
484,turkey,5.0
484,beef,8.0
484,root vegetables,9.0
484,domestic eggs,8.0
484,rolls/buns,8.0
484,flour,6.0
484,rice,9.0
484,organic products,9.0
484,misc. beverages,8.0
484,napkins,7.0
487,meat,8.0
487,other vegetables,9.0
487,hard cheese,8.0
487,frozen meals,8.0
487,bottled water,8.0
487,soda,4.0
505,tropical fruit,9.0
505,pip fruit,9.0
505,rolls/buns,8.0
505,coffee,8.0
505,fruit/vegetable juice,8.0
505,candy,8.0
506,root vegetables,9.0
506,cream cheese ,7.0
506,spread cheese,8.0
506,frozen dessert,8.0
506,white bread,8.0
506,bottled water,8.0
506,soda,4.0
506,misc. beverages,8.0
